Site,Frequency,ReZxxCal,ImZxxCal,ReZxyCal,ImZxyCal,ReZyxCal,ImZyxCal,ReZyyCal,ImZyyCal,ReZxxObs,ImZxxObs,ReZxyObs,ImZxyObs,ReZyxObs,ImZyxObs,ReZyyObs,ImZyyObs,ReZxxErr,ImZxxErr,ReZxyErr,ImZxyErr,ReZyxErr,ImZyxErr,ReZyyErr,ImZyyErr,
11,1.000000e+001,-3.627392e-002,-2.977300e-003,4.819568e-002,-4.140941e-002,-5.841480e-002,2.961531e-002,3.725196e-003,-1.194823e-003,-4.246700e-002,7.052300e-004,4.600300e-002,-4.363800e-002,-6.151800e-002,3.054000e-002,2.231000e-003,-1.501100e-004,7.784300e-003,7.784300e-003,3.299600e-003,3.299600e-003,3.299600e-003,3.299600e-003,1.858900e-003,1.858900e-003,
11,1.000000e+001,-3.856281e-002,-3.097914e-003,4.776031e-002,-4.152091e-002,-5.897119e-002,2.948463e-002,2.959775e-003,-9.507211e-004,-4.246700e-002,7.052300e-004,4.600300e-002,-4.363800e-002,-6.151800e-002,3.054000e-002,2.231000e-003,-1.501100e-004,7.784300e-003,7.784300e-003,3.299600e-003,3.299600e-003,3.299600e-003,3.299600e-003,1.858900e-003,1.858900e-003,
11,1.584800e+001,-3.406248e-002,-8.935892e-003,5.998128e-002,-4.835771e-002,-6.313926e-002,3.512009e-002,4.495460e-003,-1.145831e-003,-4.164200e-002,-7.034600e-003,6.000300e-002,-5.226200e-002,-6.666000e-002,3.365100e-002,2.949900e-003,-9.157600e-004,8.695500e-003,8.695500e-003,3.854200e-003,3.854200e-003,3.854200e-003,3.854200e-003,2.278000e-003,2.278000e-003,
11,1.584800e+001,-3.613484e-002,-9.374367e-003,5.943188e-002,-4.852155e-002,-6.362951e-002,3.457676e-002,3.476419e-003,-1.457982e-003,-4.164200e-002,-7.034600e-003,6.000300e-002,-5.226200e-002,-6.666000e-002,3.365100e-002,2.949900e-003,-9.157600e-004,8.695500e-003,8.695500e-003,3.854200e-003,3.854200e-003,3.854200e-003,3.854200e-003,2.278000e-003,2.278000e-003,
11,2.511800e+001,-2.853571e-002,-1.389564e-002,7.203951e-002,-5.675106e-002,-6.790984e-002,4.618511e-002,5.017304e-003,-6.922984e-004,-3.794300e-002,-1.339900e-002,7.348700e-002,-6.155300e-002,-6.933100e-002,4.245700e-002,2.614500e-003,-1.054000e-003,9.316100e-003,9.316100e-003,4.414000e-003,4.414000e-003,4.414000e-003,4.414000e-003,2.270800e-003,2.270800e-003,
11,2.511800e+001,-3.035815e-002,-1.447722e-002,7.138796e-002,-5.722289e-002,-6.790593e-002,4.532298e-002,4.326635e-003,-1.711889e-003,-3.794300e-002,-1.339900e-002,7.348700e-002,-6.155300e-002,-6.933100e-002,4.245700e-002,2.614500e-003,-1.054000e-003,9.316100e-003,9.316100e-003,4.414000e-003,4.414000e-003,4.414000e-003,4.414000e-003,2.270800e-003,2.270800e-003,
11,3.981000e+001,-2.193123e-002,-1.648886e-002,8.397199e-002,-6.991065e-002,-7.523281e-002,6.433908e-002,5.304701e-003,-1.441217e-003,-2.971800e-002,-1.830500e-002,8.634900e-002,-7.185700e-002,-7.286700e-002,5.863400e-002,3.699200e-003,-7.208100e-004,9.392500e-003,9.392500e-003,5.125100e-003,5.125100e-003,5.125100e-003,5.125100e-003,2.816200e-003,2.816200e-003,
11,3.981000e+001,-2.025260e-002,-1.586539e-002,8.448948e-002,-6.892112e-002,-7.590509e-002,6.502229e-002,5.150119e-003,-1.036271e-004,-2.971800e-002,-1.830500e-002,8.634900e-002,-7.185700e-002,-7.286700e-002,5.863400e-002,3.699200e-003,-7.208100e-004,9.392500e-003,9.392500e-003,5.125100e-003,5.125100e-003,5.125100e-003,5.125100e-003,2.816200e-003,2.816200e-003,
11,6.309500e+001,-1.322843e-002,-1.379860e-002,9.882945e-002,-8.916560e-002,-9.052047e-002,9.150905e-002,5.975854e-003,-5.901048e-004,-2.148700e-002,-1.847700e-002,1.050400e-001,-9.466300e-002,-8.953700e-002,9.204100e-002,4.409700e-003,-1.325700e-003,9.495300e-003,9.495300e-003,6.737300e-003,6.737300e-003,6.737300e-003,6.737300e-003,3.647400e-003,3.647400e-003,
11,6.309500e+001,-1.141921e-002,-1.298845e-002,9.881742e-002,-8.757054e-002,-9.154824e-002,9.153687e-002,4.920856e-003,3.177963e-004,-2.148700e-002,-1.847700e-002,1.050400e-001,-9.466300e-002,-8.953700e-002,9.204100e-002,4.409700e-003,-1.325700e-003,9.495300e-003,9.495300e-003,6.737300e-003,6.737300e-003,6.737300e-003,6.737300e-003,3.647400e-003,3.647400e-003,
