Site,Frequency,ReTzxCal,ImTzxCal,ReTzyCal,ImTzyCal,ReTzxObs,ImTzxObs,ReTzyObs,ImTzyObs,ReTzxErr,ImTzxErr,ReTzyErr,ImTzyErr,
1002,1.584800e+002,1.559143e-001,1.864949e-002,-2.079890e-001,9.990425e-004,1.598400e-001,3.069700e-002,-2.035000e-001,-2.642100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.584800e+002,1.480320e-001,1.074755e-002,-1.981633e-001,8.604588e-003,1.598400e-001,3.069700e-002,-2.035000e-001,-2.642100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,2.511800e+002,1.362705e-001,3.216945e-002,-1.916071e-001,-1.968427e-002,1.408600e-001,5.110400e-002,-1.823300e-001,-5.354600e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,2.511800e+002,1.391856e-001,4.159927e-002,-1.972337e-001,-2.842993e-002,1.408600e-001,5.110400e-002,-1.823300e-001,-5.354600e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,3.981000e+002,1.158526e-001,4.470447e-002,-1.733157e-001,-3.917815e-002,1.150300e-001,6.101100e-002,-1.549300e-001,-6.970900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,3.981000e+002,1.142283e-001,5.271776e-002,-1.749065e-001,-4.706529e-002,1.150300e-001,6.101100e-002,-1.549300e-001,-6.970900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,6.309500e+002,9.401573e-002,4.704318e-002,-1.504165e-001,-4.740262e-002,8.438000e-002,6.500100e-002,-1.268500e-001,-7.919000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,6.309500e+002,8.999414e-002,5.251164e-002,-1.494206e-001,-5.326432e-002,8.438000e-002,6.500100e-002,-1.268500e-001,-7.919000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+003,7.094076e-002,4.655971e-002,-1.269972e-001,-5.099921e-002,5.691900e-002,6.254200e-002,-1.016200e-001,-7.796100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+003,7.593697e-002,4.308108e-002,-1.291704e-001,-4.694652e-002,5.691900e-002,6.254200e-002,-1.016200e-001,-7.796100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,3.981000e+001,3.230034e-002,-2.984037e-002,-9.354920e-002,3.590360e-002,7.346300e-002,-1.963600e-002,-8.588300e-002,7.106900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,3.981000e+001,4.398697e-002,-3.099203e-002,-9.810722e-002,4.259699e-002,7.346300e-002,-1.963600e-002,-8.588300e-002,7.106900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,6.309500e+001,5.795575e-002,-3.394208e-002,-1.162408e-001,2.751624e-002,9.993400e-002,-2.445400e-002,-1.270600e-001,4.999100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,6.309500e+001,6.927820e-002,-3.328680e-002,-1.225062e-001,3.129916e-002,9.993400e-002,-2.445400e-002,-1.270600e-001,4.999100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,1.000000e+002,8.518963e-002,-2.413940e-002,-1.330338e-001,9.599674e-003,1.093500e-001,-1.219900e-002,-1.390100e-001,1.487100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,1.000000e+002,7.469952e-002,-2.588282e-002,-1.264529e-001,7.525995e-003,1.093500e-001,-1.219900e-002,-1.390100e-001,1.487100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,1.584800e+002,9.321741e-002,-1.317363e-002,-1.298612e-001,-1.032357e-002,1.177100e-001,-1.020100e-003,-1.359100e-001,-1.295900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,1.584800e+002,8.357745e-002,-1.558891e-002,-1.228296e-001,-1.106515e-002,1.177100e-001,-1.020100e-003,-1.359100e-001,-1.295900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,2.511800e+002,8.793913e-002,-4.501416e-003,-1.125840e-001,-2.291551e-002,1.098600e-001,1.162100e-002,-1.224800e-001,-3.096500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,2.511800e+002,9.676842e-002,-1.379398e-003,-1.196363e-001,-2.386410e-002,1.098600e-001,1.162100e-002,-1.224800e-001,-3.096500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,3.981000e+002,8.724952e-002,7.501115e-003,-1.008578e-001,-2.970491e-002,1.029600e-001,2.235200e-002,-1.047600e-001,-4.265900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,3.981000e+002,9.480818e-002,1.147049e-002,-1.070619e-001,-3.230216e-002,1.029600e-001,2.235200e-002,-1.047600e-001,-4.265900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,6.309500e+002,8.653141e-002,2.242126e-002,-9.332927e-002,-3.752419e-002,9.248400e-002,3.015600e-002,-8.853100e-002,-5.179000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,6.309500e+002,8.076231e-002,1.811100e-002,-8.866307e-002,-3.379309e-002,9.248400e-002,3.015600e-002,-8.853100e-002,-5.179000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,1.000000e+003,7.015704e-002,2.486559e-002,-7.592081e-002,-3.579825e-002,7.701700e-002,3.411600e-002,-6.556100e-002,-5.868400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1003,1.000000e+003,7.424557e-002,2.892184e-002,-7.871199e-002,-3.999676e-002,7.701700e-002,3.411600e-002,-6.556100e-002,-5.868400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e-002,-1.212628e-001,-8.238461e-002,2.976859e-001,-3.396904e-002,-1.923300e-001,7.232800e-003,2.499000e-001,-7.236000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309000e-002,-1.104077e-001,-7.325933e-002,3.019832e-001,-3.999030e-002,-1.059300e-001,-6.223500e-002,3.288000e-001,-1.540000e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e-001,-6.247618e-003,-7.443630e-002,3.614592e-001,-5.963802e-002,4.575700e-002,-4.719800e-002,4.299500e-001,-1.066500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309500e-001,1.932571e-002,-5.957452e-002,3.823506e-001,-6.379313e-002,5.844000e-002,-1.302600e-001,3.745200e-001,-1.873600e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+000,3.887054e-002,-3.961751e-002,4.076706e-001,-6.502497e-002,-7.331700e-002,-4.508500e-002,4.222100e-001,-2.579600e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,2.511800e+000,4.883264e-002,1.170384e-002,4.656400e-001,-3.801782e-002,1.518800e-002,-3.219400e-002,5.096100e-001,3.007800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e+000,3.464998e-002,3.384654e-002,4.843371e-001,-3.211569e-003,3.750400e-002,-1.199600e-002,5.074700e-001,4.830200e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309500e+000,1.299169e-002,4.565385e-002,4.857126e-001,4.251121e-002,5.134600e-002,2.430700e-002,4.766600e-001,9.439900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309500e+000,8.805405e-003,4.020299e-002,4.870624e-001,5.262675e-002,5.134600e-002,2.430700e-002,4.766600e-001,9.439900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+001,-9.140346e-003,4.822702e-002,4.641107e-001,9.225145e-002,2.733600e-002,6.793300e-002,4.484800e-001,1.156100e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+001,-1.000113e-002,4.429556e-002,4.602115e-001,1.004870e-001,2.733600e-002,6.793300e-002,4.484800e-001,1.156100e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.584800e+001,-2.986917e-002,4.236472e-002,4.116995e-001,1.383460e-001,-5.132700e-002,8.523600e-002,4.021900e-001,1.088000e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.584800e+001,-2.985298e-002,4.432608e-002,4.187801e-001,1.348143e-001,-5.132700e-002,8.523600e-002,4.021900e-001,1.088000e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,2.511800e+001,-4.690074e-002,3.329301e-002,3.578481e-001,1.607216e-001,-5.642900e-002,7.233200e-002,3.316200e-001,1.342900e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,2.511800e+001,-4.650756e-002,3.228300e-002,3.513084e-001,1.592841e-001,-5.642900e-002,7.233200e-002,3.316200e-001,1.342900e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e+001,-5.428481e-002,1.789627e-002,2.926971e-001,1.682905e-001,-6.191700e-002,5.960000e-002,2.841800e-001,1.403600e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e+001,-5.311834e-002,1.846096e-002,2.890137e-001,1.640273e-001,-6.191700e-002,5.960000e-002,2.841800e-001,1.403600e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
