MT    48
1  1  -2.052  1.667  
16
3.98100 -1.0174e-02 -5.1067e-03 3.1447e-02 -2.8474e-02 -3.3122e-02 1.8299e-02 1.6638e-03 2.7449e-03 3.2964e-03 3.2964e-03 2.0033e-03 2.0033e-03 2.0033e-03 2.0033e-03 1.6531e-03 1.6531e-03 
2.51180 -1.0091e-02 -1.7323e-03 2.3975e-02 -2.2506e-02 -2.8031e-02 1.5805e-02 2.5444e-03 2.8880e-03 2.7523e-03 2.7523e-03 1.6265e-03 1.6265e-03 1.6265e-03 1.6265e-03 1.6694e-03 1.6694e-03 
1.58480 -8.7235e-03 -1.0025e-04 1.9457e-02 -1.6883e-02 -2.4468e-02 1.3405e-02 2.8368e-03 2.3817e-03 2.2487e-03 2.2487e-03 1.3404e-03 1.3404e-03 1.3404e-03 1.3404e-03 1.5249e-03 1.5249e-03 
1.00000 -7.1342e-03 1.0396e-03 1.6193e-02 -1.2708e-02 -2.1382e-02 1.1544e-02 2.9504e-03 1.0705e-03 1.8273e-03 1.8273e-03 1.1182e-03 1.1182e-03 1.2338e-03 1.2338e-03 1.3100e-03 1.3100e-03 
0.63095 -6.3180e-03 1.6780e-03 1.2706e-02 -8.6341e-03 -1.8728e-02 9.6824e-03 2.9111e-03 -6.0206e-05 1.5032e-03 1.5032e-03 8.9983e-04 8.9983e-04 1.0223e-03 1.0223e-03 1.1752e-03 1.1752e-03 
6  6  3.187  1.067  
15
1000.00000 2.1756e-01 9.6238e-02 6.0286e-01 -7.1942e-01 -6.0040e-01 5.5867e-01 -2.1650e-01 -4.1853e-02 7.0881e-02 7.0881e-02 4.3868e-02 4.3868e-02 4.3868e-02 4.3868e-02 6.3788e-02 6.3788e-02 
630.95000 2.1341e-01 7.1037e-02 5.2414e-01 -5.3580e-01 -5.5436e-01 4.1757e-01 -1.7895e-01 -5.5648e-03 6.1589e-02 6.1589e-02 3.6062e-02 3.6062e-02 3.6062e-02 3.6062e-02 5.2875e-02 5.2875e-02 
398.10000 1.8537e-01 4.8202e-02 4.6135e-01 -3.9891e-01 -5.1725e-01 3.0462e-01 -1.5186e-01 1.6855e-02 5.1268e-02 5.1268e-02 3.0253e-02 3.0253e-02 3.0253e-02 3.0253e-02 4.5428e-02 4.5428e-02 
251.18000 1.8080e-01 2.6481e-02 3.9625e-01 -3.1429e-01 -4.4844e-01 2.3866e-01 -1.5591e-01 2.1981e-02 4.5600e-02 4.5600e-02 2.5344e-02 2.5344e-02 2.5344e-02 2.5344e-02 4.2423e-02 4.2423e-02 
158.48000 1.8237e-01 1.3897e-02 3.4016e-01 -2.5797e-01 -3.8805e-01 1.9204e-01 -1.6810e-01 2.1581e-02 4.1915e-02 4.1915e-02 2.1497e-02 2.1497e-02 2.1497e-02 2.1497e-02 4.0633e-02 4.0633e-02 
100.00000 1.8421e-01 6.1780e-03 2.8336e-01 -2.1422e-01 -3.4539e-01 1.5431e-01 -1.6646e-01 2.3030e-02 3.8381e-02 3.8381e-02 1.8329e-02 1.8329e-02 1.8329e-02 1.8329e-02 3.7820e-02 3.7820e-02 
63.09500 2.0117e-01 -2.5212e-03 2.3709e-01 -1.7833e-01 -3.1818e-01 1.3152e-01 -1.5631e-01 1.7948e-02 3.6646e-02 3.6646e-02 1.5980e-02 1.5980e-02 1.5980e-02 1.5980e-02 3.4911e-02 3.4911e-02 
39.81000 1.9611e-01 -1.7259e-02 2.0009e-01 -1.4740e-01 -2.9441e-01 1.1943e-01 -1.4656e-01 3.8609e-02 3.3179e-02 3.3179e-02 1.4050e-02 1.4050e-02 1.4050e-02 1.4050e-02 3.2915e-02 3.2915e-02 
