      Site      Frequency      AppRxxCal       PhsxxCal      AppRxyCal       PhsxyCal      AppRyxCal       PhsyxCal      AppRyyCal       PhsyyCal      AppRxxObs       PhsxxObs      AppRxyObs       PhsxyObs      AppRyxObs       PhsyxObs      AppRyyObs       PhsyyObs      AppRxxErr       PhsxxErr      AppRxyErr       PhsxyErr      AppRyxErr       PhsyxErr      AppRyyErr       PhsyyErr
         1  6.309500e+002  1.177246e-001  1.682447e+002  2.921537e+001 -4.869521e+001  4.249700e+001  1.348939e+002  4.018554e+000 -4.159220e+001  3.186639e-001  1.475783e+002  3.209615e+001 -4.803185e+001  4.189236e+001  1.391363e+002  2.228431e+000 -1.350631e+001  3.028472e-001  2.837125e+001  3.430589e+000  3.063482e+000  3.919310e+000  2.681180e+000  1.392041e+000  1.820010e+001
         1  6.309500e+002  1.281230e-001  1.739401e+002  2.967244e+001 -4.907894e+001  4.182754e+001  1.366502e+002  3.370125e+000 -3.898302e+001  3.186639e-001  1.475783e+002  3.209615e+001 -4.803185e+001  4.189236e+001  1.391363e+002  2.228431e+000 -1.350631e+001  3.028472e-001  2.837125e+001  3.430589e+000  3.063482e+000  3.919310e+000  2.681180e+000  1.392041e+000  1.820010e+001
         1  1.000000e+003  7.831218e-002  1.622940e+002  3.011075e+001 -4.931542e+001  4.253073e+001  1.332399e+002  3.909144e+000 -4.394551e+001  2.846708e-001  1.440264e+002  3.362717e+001 -4.669936e+001  4.293646e+001  1.402490e+002  1.436875e+000 -1.739895e+001  2.815508e-001  2.963811e+001  3.574578e+000  3.046714e+000  4.039175e+000  2.695997e+000  1.007871e+000  2.053113e+001
         1  1.000000e+003  7.578862e-002  1.703728e+002  3.075682e+001 -4.950828e+001  4.074979e+001  1.349918e+002  3.234631e+000 -4.229688e+001  2.846708e-001  1.440264e+002  3.362717e+001 -4.669936e+001  4.293646e+001  1.402490e+002  1.436875e+000 -1.739895e+001  2.815508e-001  2.963811e+001  3.574578e+000  3.046714e+000  4.039175e+000  2.695997e+000  1.007871e+000  2.053113e+001
         2  1.000000e+000  1.982394e+001  1.664054e+002  4.459736e+001 -3.797466e+001  5.655776e+001  1.474245e+002  4.671277e-001  2.012072e+001  2.073295e+001  1.653394e+002  4.679143e+001 -3.927200e+001  5.254965e+001  1.519930e+002  1.495106e+000  2.500843e+001  7.623570e+000  1.059418e+001  2.377804e+001  1.471940e+001  5.132766e+000  2.799285e+000  1.092058e+000  2.142056e+001
         2  1.584800e+000  1.473770e+001  1.718136e+002  4.438779e+001 -4.191975e+001  4.896702e+001  1.471305e+002  3.311641e-001  3.547661e+001  1.222682e+001  1.655717e+002  3.535390e+001 -4.516373e+001  4.285559e+001  1.488869e+002  1.193491e+000  3.371803e+001  4.783329e+000  1.128025e+001  1.714665e+001  1.403415e+001  4.084360e+000  2.731327e+000  8.764758e-001  2.154241e+001
         2  2.511800e+000  1.044226e+001  1.790186e+002  4.632520e+001 -4.392184e+001  4.273842e+001  1.466343e+002  2.490541e-001  5.454903e+001  1.106562e+001  1.765339e+002  4.194012e+001 -4.841843e+001  3.811522e+001  1.455499e+002  7.784518e-001  5.298807e+001  4.631932e+000  1.208097e+001  1.235090e+001  8.467276e+000  3.903862e+000  2.935477e+000  6.177780e-001  2.337823e+001
         2  3.981000e+000  6.772464e+000 -1.716252e+002  4.809991e+001 -4.405946e+001  3.712045e+001  1.458505e+002  2.011522e-001  7.439902e+001  8.755854e+000 -1.784896e+002  4.913284e+001 -4.617019e+001  3.535040e+001  1.437004e+002  4.373600e-001  7.466852e+001  4.042950e+000  1.334837e+001  7.501468e+000  4.378141e+000  3.838334e+000  3.112108e+000  3.934146e-001  2.672833e+001
         2  6.309500e+000  3.832880e+000 -1.603432e+002  4.817416e+001 -4.326853e+001  3.209044e+001  1.440753e+002  1.784781e-001  9.011602e+001  5.979521e+000 -1.661003e+002  4.761389e+001 -4.469221e+001  3.300095e+001  1.423150e+002  3.430346e-001  9.255593e+001  3.013424e+000  1.459463e+001  5.674164e+000  3.416002e+000  3.616807e+000  3.141298e+000  3.222967e-001  2.801955e+001
         2  6.309500e+000  4.280250e+000 -1.620232e+002  4.811468e+001 -4.390362e+001  3.201410e+001  1.433366e+002  2.189018e-001  9.411470e+001  5.979521e+000 -1.661003e+002  4.761389e+001 -4.469221e+001  3.300095e+001  1.423150e+002  3.430346e-001  9.255593e+001  3.013424e+000  1.459463e+001  5.674164e+000  3.416002e+000  3.616807e+000  3.141298e+000  3.222967e-001  2.801955e+001
         2  1.000000e+001  1.989633e+000 -1.505240e+002  4.639981e+001 -4.304709e+001  2.891288e+001  1.401123e+002  2.127635e-001  1.067650e+002  3.275050e+000 -1.581936e+002  4.556818e+001 -4.402463e+001  2.997820e+001  1.409674e+002  3.620051e-001  9.593805e+001  1.897578e+000  1.684012e+001  4.256691e+000  2.677078e+000  3.328607e+000  3.182533e+000  3.276154e-001  2.690426e+001
         2  1.000000e+001  1.790449e+000 -1.480496e+002  4.636949e+001 -4.264236e+001  2.857069e+001  1.407063e+002  1.824787e-001  1.000934e+002  3.275050e+000 -1.581936e+002  4.556818e+001 -4.402463e+001  2.997820e+001  1.409674e+002  3.620051e-001  9.593805e+001  1.897578e+000  1.684012e+001  4.256691e+000  2.677078e+000  3.328607e+000  3.182533e+000  3.276154e-001  2.690426e+001
         2  1.584800e+001  6.467263e-001 -1.369595e+002  4.383500e+001 -4.311690e+001  2.749085e+001  1.364231e+002  2.114729e-001  1.070375e+002  1.523459e+000 -1.556829e+002  4.463807e+001 -4.414129e+001  2.946142e+001  1.388871e+002  3.583161e-001  1.025975e+002  1.063325e+000  2.042518e+001  4.023329e+000  2.582973e+000  3.268584e+000  3.179960e+000  3.236940e-001  2.685202e+001
         2  1.584800e+001  7.340200e-001 -1.415530e+002  4.391043e+001 -4.353505e+001  2.793484e+001  1.360947e+002  2.158915e-001  1.137743e+002  1.523459e+000 -1.556829e+002  4.463807e+001 -4.414129e+001  2.946142e+001  1.388871e+002  3.583161e-001  1.025975e+002  1.063325e+000  2.042518e+001  4.023329e+000  2.582973e+000  3.268584e+000  3.179960e+000  3.236940e-001  2.685202e+001
         2  2.511800e+001  2.219167e-001 -1.404188e+002  4.305225e+001 -4.518986e+001  2.915508e+001  1.326515e+002  2.443081e-001  1.175372e+002  5.274380e-001 -1.527623e+002  4.624502e+001 -4.467087e+001  3.178981e+001  1.363104e+002  4.014372e-001  1.130818e+002  4.841921e-001  2.732284e+001  4.210867e+000  2.609452e+000  3.491267e+000  3.147793e+000  3.592586e-001  2.658119e+001
         2  2.511800e+001  1.701296e-001 -1.325456e+002  4.258298e+001 -4.478687e+001  2.866274e+001  1.328990e+002  2.586853e-001  1.132547e+002  5.274380e-001 -1.527623e+002  4.624502e+001 -4.467087e+001  3.178981e+001  1.363104e+002  4.014372e-001  1.130818e+002  4.841921e-001  2.732284e+001  4.210867e+000  2.609452e+000  3.491267e+000  3.147793e+000  3.592586e-001  2.658119e+001
         2  3.981000e+001  7.759289e-002 -1.507650e+002  4.443337e+001 -4.650564e+001  3.172007e+001  1.308412e+002  2.999977e-001  1.228569e+002  9.835172e-002 -1.512376e+002  4.855370e+001 -4.542207e+001  3.571801e+001  1.337878e+002  4.975045e-001  1.255445e+002  1.390805e-001  4.499594e+001  4.496599e+000  2.654054e+000  3.856707e+000  3.094805e+000  4.344563e-001  2.588941e+001
         2  3.981000e+001  4.092070e-002 -1.463437e+002  4.360554e+001 -4.642023e+001  3.104347e+001  1.309523e+002  3.169425e-001  1.203482e+002  9.835172e-002 -1.512376e+002  4.855370e+001 -4.542207e+001  3.571801e+001  1.337878e+002  4.975045e-001  1.255445e+002  1.390805e-001  4.499594e+001  4.496599e+000  2.654054e+000  3.856707e+000  3.094805e+000  4.344563e-001  2.588941e+001
         2  6.309500e+001  3.542667e-002 -1.562532e+002  4.628015e+001 -4.659819e+001  3.431100e+001  1.304755e+002  3.462792e-001  1.315183e+002  1.062058e-002 -1.657167e+002  4.859359e+001 -4.572391e+001  3.746148e+001  1.323944e+002  5.649450e-001  1.371837e+002  2.620465e-002  1.800000e+002  4.553286e+000  2.685329e+000  3.997863e+000  3.058735e+000  4.836304e-001  2.534280e+001
         2  6.309500e+001  1.772293e-002 -1.678202e+002  4.562780e+001 -4.690501e+001  3.364683e+001  1.303400e+002  3.608868e-001  1.292531e+002  1.062058e-002 -1.657167e+002  4.859359e+001 -4.572391e+001  3.746148e+001  1.323944e+002  5.649450e-001  1.371837e+002  2.620465e-002  1.800000e+002  4.553286e+000  2.685329e+000  3.997863e+000  3.058735e+000  4.836304e-001  2.534280e+001
         2  1.000000e+002  5.272550e-003 -1.549860e+002  4.690235e+001 -4.624431e+001  3.625728e+001  1.305761e+002  3.441504e-001  1.419007e+002  1.025156e-002  1.752551e+002  4.577658e+001 -4.575441e+001  3.560514e+001  1.322709e+002  5.073298e-001  1.504678e+002  2.514021e-002  1.800000e+002  4.298949e+000  2.691357e+000  3.791377e+000  3.051985e+000  4.405245e-001  2.573185e+001
         2  1.000000e+002  4.619039e-003  1.676305e+002  4.681004e+001 -4.667538e+001  3.582860e+001  1.303956e+002  3.568945e-001  1.390737e+002  1.025156e-002  1.752551e+002  4.577658e+001 -4.575441e+001  3.560514e+001  1.322709e+002  5.073298e-001  1.504678e+002  2.514021e-002  1.800000e+002  4.298949e+000  2.691357e+000  3.791377e+000  3.051985e+000  4.405245e-001  2.573185e+001
         2  1.584800e+002  7.895530e-003  7.300535e+001  4.672980e+001 -4.642507e+001  3.789880e+001  1.305462e+002  2.853167e-001  1.524023e+002  7.498295e-003  1.573806e+002  4.539547e+001 -4.723762e+001  3.679603e+001  1.312570e+002  4.757086e-001  1.662924e+002  1.984244e-002  1.800000e+002  4.307265e+000  2.719222e+000  3.877893e+000  3.020568e+000  4.232220e-001  2.641267e+001
         2  1.584800e+002  1.058113e-002  9.106549e+001  4.710605e+001 -4.671785e+001  3.757295e+001  1.304947e+002  2.971080e-001  1.481281e+002  7.498295e-003  1.573806e+002  4.539547e+001 -4.723762e+001  3.679603e+001  1.312570e+002  4.757086e-001  1.662924e+002  1.984244e-002  1.800000e+002  4.307265e+000  2.719222e+000  3.877893e+000  3.020568e+000  4.232220e-001  2.641267e+001
         2  2.511800e+002  5.521939e-002  8.533923e+001  4.706023e+001 -4.725683e+001  3.961270e+001  1.304098e+002  1.882856e-001  1.607865e+002  1.025946e-002  1.299079e+002  4.460084e+001 -4.794234e+001  3.709650e+001  1.291886e+002  3.804724e-001 -1.768167e+002  2.499202e-002  1.800000e+002  4.259249e+000  2.736830e+000  3.884436e+000  3.001140e+000  3.586797e-001  2.812268e+001
         2  2.511800e+002  4.868132e-002  9.268091e+001  4.760216e+001 -4.728251e+001  3.920948e+001  1.304411e+002  2.033733e-001  1.538404e+002  1.025946e-002  1.299079e+002  4.460084e+001 -4.794234e+001  3.709650e+001  1.291886e+002  3.804724e-001 -1.768167e+002  2.499202e-002  1.800000e+002  4.259249e+000  2.736830e+000  3.884436e+000  3.001140e+000  3.586797e-001  2.812268e+001
         2  3.981000e+002  1.102148e-001  1.023737e+002  4.846453e+001 -4.815561e+001  4.134384e+001  1.302185e+002  9.714305e-002  1.611763e+002  3.872137e-002  1.067540e+002  4.480978e+001 -4.904616e+001  3.880096e+001  1.272197e+002  2.728572e-001 -1.557892e+002  6.775209e-002  6.102924e+001  4.322431e+000  2.764498e+000  4.022192e+000  2.971034e+000  2.826782e-001  3.119797e+001
         2  3.981000e+002  9.231954e-002  1.064458e+002  4.883640e+001 -4.796183e+001  4.087277e+001  1.302486e+002  1.207934e-001  1.506769e+002  3.872137e-002  1.067540e+002  4.480978e+001 -4.904616e+001  3.880096e+001  1.272197e+002  2.728572e-001 -1.557892e+002  6.775209e-002  6.102924e+001  4.322431e+000  2.764498e+000  4.022192e+000  2.971034e+000  2.826782e-001  3.119797e+001
         2  6.309500e+002  1.372388e-001  1.156054e+002  5.030330e+001 -4.878555e+001  4.313308e+001  1.298050e+002  5.434722e-002  1.447067e+002  6.268557e-002  1.200393e+002  4.810188e+001 -5.093476e+001  4.362794e+001  1.260597e+002  2.268221e-001 -1.349819e+002  9.897529e-002  5.213492e+001  4.694206e+000  2.796824e+000  4.470576e+000  2.936849e+000  2.534135e-001  3.396022e+001
         2  6.309500e+002  1.135770e-001  1.184423e+002  5.038337e+001 -4.852462e+001  4.264454e+001  1.298517e+002  8.990278e-002  1.353767e+002  6.268557e-002  1.200393e+002  4.810188e+001 -5.093476e+001  4.362794e+001  1.260597e+002  2.268221e-001 -1.349819e+002  9.897529e-002  5.213492e+001  4.694206e+000  2.796824e+000  4.470576e+000  2.936849e+000  2.534135e-001  3.396022e+001
         2  1.000000e+003  1.421105e-001  1.230678e+002  5.212449e+001 -4.944288e+001  4.526896e+001  1.291629e+002  5.909264e-002  1.225857e+002  3.864531e-001  1.266896e+002  5.316139e+001 -5.198354e+001  5.050356e+001  1.258475e+002  2.332871e-001 -1.169979e+002  3.970544e-001  3.091168e+001  5.248381e+000  2.829425e+000  5.115501e+000  2.902984e+000  2.684553e-001  3.512592e+001
         2  1.000000e+003  1.163597e-001  1.256373e+002  5.197584e+001 -4.919843e+001  4.469965e+001  1.292435e+002  1.071127e-001  1.202402e+002  3.864531e-001  1.266896e+002  5.316139e+001 -5.198354e+001  5.050356e+001  1.258475e+002  2.332871e-001 -1.169979e+002  3.970544e-001  3.091168e+001  5.248381e+000  2.829425e+000  5.115501e+000  2.902984e+000  2.684553e-001  3.512592e+001
         3  3.981000e+001  7.281152e-001 -5.639365e+001  4.714154e+001 -4.404241e+001  2.944184e+001  1.293017e+002  2.531870e+000  1.376960e+002  1.078225e+000 -1.344542e+002  4.977495e+001 -5.816815e+001  2.799311e+001  1.289151e+002  5.657575e+000  1.280300e+002  8.431748e-001  2.301682e+001  8.760188e+000  5.048442e+000  3.232535e+000  3.309988e+000  2.531364e+000  1.292730e+001
